chunk_text,metadata
i sent via zelle through venmo to pay my landlord the money was deducted from my account but never received by the recipient it has been weeks and venmo has not been able to locate the funds or provide a refund i am now at risk of eviction because my rent appears unpaid,"{'complaint_id': 10002038, 'product_category': 'money transfer', 'chunk_index': 0}"
someone made fraudulent purchases on my amex gold card totaling i reported this to discover immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a different state when these transactions occurred,"{'complaint_id': 10000283, 'product_category': 'credit card', 'chunk_index': 0}"
the rewards program on my citi double cash card was changed without notice discover devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a bait and switch tactic long time customers should be grandfathered into the original rewards program,"{'complaint_id': 10000483, 'product_category': 'credit card', 'chunk_index': 0}"
my account was frozen by venmo after i made a paypal transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation including pay stubs and tax returns,"{'complaint_id': 10002221, 'product_category': 'money transfer', 'chunk_index': 0}"
i tried to make an extra payment on my upstart loan from goldman sachs to pay down the principal faster their system automatically applied it to future payments instead of the principal balance after calling times each representative gave me different instructions i am paying more interest than necessary because they will not properly apply my payments,"{'complaint_id': 10000942, 'product_category': 'personal loan', 'chunk_index': 0}"
zelle charged me a fee for a paypal transfer that was advertised as free the fee was hidden in the exchange rate markup and only visible after carefully comparing the rates the actual exchange rate applied was worse than the market rate this is deceptive and the total hidden cost was,"{'complaint_id': 10001963, 'product_category': 'money transfer', 'chunk_index': 0}"
citibank charged me a late fee on my amex gold card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should not be penalized for their slow processing system,"{'complaint_id': 10000621, 'product_category': 'credit card', 'chunk_index': 0}"
i took out a personal loan of with prosper through their prosper loan program the advertised rate was but after approval i was given the terms were buried in fine print and the loan officer rushed me through the signing process i am now paying per month which is more than what was originally quoted,"{'complaint_id': 10000931, 'product_category': 'personal loan', 'chunk_index': 0}"
goldman sachs charged me a monthly maintenance fee on my synchrony savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not happen again,"{'complaint_id': 10001392, 'product_category': 'savings account', 'chunk_index': 0}"
i applied for the capital one venture card specifically for the point sign up bonus i met all the spending requirements within the specified timeframe but american express has refused to credit my bonus points i have called times over the past months and each representative tells me something different i have all receipts and statements showing i qualified,"{'complaint_id': 10000434, 'product_category': 'credit card', 'chunk_index': 0}"
i accidentally sent to the wrong person through venmo via zelle i realized the error within minutes and immediately contacted them to cancel they said the transaction was already completed and they cannot reverse it they suggested i ask the recipient nicely to send it back this is an unacceptable response for such a large amount,"{'complaint_id': 10002155, 'product_category': 'money transfer', 'chunk_index': 0}"
my marcus savings with goldman sachs was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this goldman sachs took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and how this person gained access,"{'complaint_id': 10001646, 'product_category': 'savings account', 'chunk_index': 0}"
i have been a loyal discover it cardholder with discover for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this account if the rate is not adjusted,"{'complaint_id': 10000694, 'product_category': 'credit card', 'chunk_index': 0}"
i opened a synchrony savings with synchrony because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for the higher rate,"{'complaint_id': 10001616, 'product_category': 'savings account', 'chunk_index': 0}"
my ally savings with chase was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this chase took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and how this person gained access,"{'complaint_id': 10001235, 'product_category': 'savings account', 'chunk_index': 0}"
ally bank closed my ally savings account without warning citing business reasons i had in the account and it took weeks to receive a cashier s check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account,"{'complaint_id': 10001212, 'product_category': 'savings account', 'chunk_index': 0}"
the rewards program on my capital one venture card was changed without notice chase devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a bait and switch tactic long time customers should be grandfathered into the original rewards program,"{'complaint_id': 10000679, 'product_category': 'credit card', 'chunk_index': 0}"
the rewards program on my discover it card was changed without notice discover devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a bait and switch tactic long time customers should be grandfathered into the original rewards program,"{'complaint_id': 10000030, 'product_category': 'credit card', 'chunk_index': 0}"
i opened a ally savings with synchrony because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for the higher rate,"{'complaint_id': 10001423, 'product_category': 'savings account', 'chunk_index': 0}"
i opened a chase savings with ally bank because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for the higher rate,"{'complaint_id': 10001221, 'product_category': 'savings account', 'chunk_index': 0}"
i have been making regular payments on my sofi personal loan from prosper for months last month they claimed they did not receive my payment even though my bank shows it was debited they charged me a late fee and reported a missed payment to the credit bureaus dropping my score by points i need this corrected immediately,"{'complaint_id': 10001081, 'product_category': 'personal loan', 'chunk_index': 0}"
lendingclub sold my marcus loan loan to a third party debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a violation of fair debt collection practices,"{'complaint_id': 10001118, 'product_category': 'personal loan', 'chunk_index': 0}"
i sent via venmo through venmo to pay my landlord the money was deducted from my account but never received by the recipient it has been weeks and venmo has not been able to locate the funds or provide a refund i am now at risk of eviction because my rent appears unpaid,"{'complaint_id': 10001986, 'product_category': 'money transfer', 'chunk_index': 0}"
my discover savings with discover was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this discover took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and how this person gained access,"{'complaint_id': 10001667, 'product_category': 'savings account', 'chunk_index': 0}"
chase closed my ally savings account without warning citing business reasons i had in the account and it took weeks to receive a cashier s check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account,"{'complaint_id': 10001331, 'product_category': 'savings account', 'chunk_index': 0}"
my capital one venture card from american express suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my credit utilization ratio and dropped my score by points,"{'complaint_id': 10000433, 'product_category': 'credit card', 'chunk_index': 0}"
i took out a personal loan of with sofi through their prosper loan program the advertised rate was but after approval i was given the terms were buried in fine print and the loan officer rushed me through the signing process i am now paying per month which is more than what was originally quoted,"{'complaint_id': 10000941, 'product_category': 'personal loan', 'chunk_index': 0}"
my chase sapphire card from citibank suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my credit utilization ratio and dropped my score by points,"{'complaint_id': 10000760, 'product_category': 'credit card', 'chunk_index': 0}"
i tried to make an extra payment on my lendingclub loan from prosper to pay down the principal faster their system automatically applied it to future payments instead of the principal balance after calling times each representative gave me different instructions i am paying more interest than necessary because they will not properly apply my payments,"{'complaint_id': 10001055, 'product_category': 'personal loan', 'chunk_index': 0}"
i have been a loyal capital one venture cardholder with capital one for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this account if the rate is not adjusted,"{'complaint_id': 10000462, 'product_category': 'credit card', 'chunk_index': 0}"
western union charged me a fee for a wire transfer transfer that was advertised as free the fee was hidden in the exchange rate markup and only visible after carefully comparing the rates the actual exchange rate applied was worse than the market rate this is deceptive and the total hidden cost was,"{'complaint_id': 10001984, 'product_category': 'money transfer', 'chunk_index': 0}"
i have been a loyal discover it cardholder with american express for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this account if the rate is not adjusted,"{'complaint_id': 10000730, 'product_category': 'credit card', 'chunk_index': 0}"
venmo charged me a fee for a paypal transfer that was advertised as free the fee was hidden in the exchange rate markup and only visible after carefully comparing the rates the actual exchange rate applied was worse than the market rate this is deceptive and the total hidden cost was,"{'complaint_id': 10001935, 'product_category': 'money transfer', 'chunk_index': 0}"
upstart sold my upstart loan loan to a third party debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a violation of fair debt collection practices,"{'complaint_id': 10000964, 'product_category': 'personal loan', 'chunk_index': 0}"
i was contacted by someone claiming to be from my bank s fraud department they convinced me to send via paypal to secure my account i later realized this was a scam and immediately contacted venmo they refused to reverse the transaction saying paypal transfers are final i believe venmo should have better fraud protection mechanisms,"{'complaint_id': 10002096, 'product_category': 'money transfer', 'chunk_index': 0}"
upstart sold my lendingclub loan loan to a third party debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a violation of fair debt collection practices,"{'complaint_id': 10001084, 'product_category': 'personal loan', 'chunk_index': 0}"
my account was frozen by zelle after i made a venmo transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation including pay stubs and tax returns,"{'complaint_id': 10001952, 'product_category': 'money transfer', 'chunk_index': 0}"
i tried to withdraw from my ally savings at discover and was told my account was frozen pending a security review no one informed me of any issues beforehand i had bills due and no access to my own money for weeks the customer service was unhelpful and could not tell me when the review would be completed,"{'complaint_id': 10001436, 'product_category': 'savings account', 'chunk_index': 0}"
my account was frozen by venmo after i made a venmo transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation including pay stubs and tax returns,"{'complaint_id': 10001969, 'product_category': 'money transfer', 'chunk_index': 0}"
i initiated an international transfer of through western union s paypal service the estimated delivery was days but after weeks the money has still not arrived each time i call they say it is being processed meanwhile the exchange rate has changed significantly costing me an additional in value,"{'complaint_id': 10002234, 'product_category': 'money transfer', 'chunk_index': 0}"
chase closed my marcus savings account without warning citing business reasons i had in the account and it took weeks to receive a cashier s check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account,"{'complaint_id': 10001707, 'product_category': 'savings account', 'chunk_index': 0}"
the rewards program on my capital one venture card was changed without notice american express devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a bait and switch tactic long time customers should be grandfathered into the original rewards program,"{'complaint_id': 10000112, 'product_category': 'credit card', 'chunk_index': 0}"
discover charged me a monthly maintenance fee on my chase savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not happen again,"{'complaint_id': 10001294, 'product_category': 'savings account', 'chunk_index': 0}"
my citi double cash card from capital one suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my credit utilization ratio and dropped my score by points,"{'complaint_id': 10000252, 'product_category': 'credit card', 'chunk_index': 0}"
upstart sold my upstart loan loan to a third party debt collector without notifying me the collector is now adding additional fees and interest that were not part of my original agreement they call me times per day including on weekends and have been rude and threatening this is harassment and a violation of fair debt collection practices,"{'complaint_id': 10000917, 'product_category': 'personal loan', 'chunk_index': 0}"
i noticed a charge of on my discover it statement from i did not authorize this transaction and have been trying to resolve it with discover for weeks they keep transferring me between departments and no one takes responsibility i have provided documentation proving i was not at the merchant location this is extremely frustrating and i need this resolved immediately,"{'complaint_id': 10000230, 'product_category': 'credit card', 'chunk_index': 0}"
capital one charged me a late fee on my capital one venture card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should not be penalized for their slow processing system,"{'complaint_id': 10000600, 'product_category': 'credit card', 'chunk_index': 0}"
my discover it card from discover suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my credit utilization ratio and dropped my score by points,"{'complaint_id': 10000291, 'product_category': 'credit card', 'chunk_index': 0}"
capital one charged me a late fee on my capital one venture card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should not be penalized for their slow processing system,"{'complaint_id': 10000423, 'product_category': 'credit card', 'chunk_index': 0}"
chase closed my chase savings account without warning citing business reasons i had in the account and it took weeks to receive a cashier s check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account,"{'complaint_id': 10001365, 'product_category': 'savings account', 'chunk_index': 0}"
i accidentally sent to the wrong person through paypal via paypal i realized the error within minutes and immediately contacted them to cancel they said the transaction was already completed and they cannot reverse it they suggested i ask the recipient nicely to send it back this is an unacceptable response for such a large amount,"{'complaint_id': 10002130, 'product_category': 'money transfer', 'chunk_index': 0}"
i have been trying to reach ally bank s customer service about an issue with my discover savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of service is completely unacceptable for a bank holding my savings,"{'complaint_id': 10001621, 'product_category': 'savings account', 'chunk_index': 0}"
i was contacted by someone claiming to be from my bank s fraud department they convinced me to send via western union to secure my account i later realized this was a scam and immediately contacted zelle they refused to reverse the transaction saying western union transfers are final i believe zelle should have better fraud protection mechanisms,"{'complaint_id': 10002074, 'product_category': 'money transfer', 'chunk_index': 0}"
someone made fraudulent purchases on my chase sapphire card totaling i reported this to american express immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a different state when these transactions occurred,"{'complaint_id': 10000135, 'product_category': 'credit card', 'chunk_index': 0}"
i opened a marcus savings with goldman sachs because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for the higher rate,"{'complaint_id': 10001615, 'product_category': 'savings account', 'chunk_index': 0}"
the rewards program on my discover it card was changed without notice chase devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a bait and switch tactic long time customers should be grandfathered into the original rewards program,"{'complaint_id': 10000611, 'product_category': 'credit card', 'chunk_index': 0}"
i initiated an international transfer of through western union s zelle service the estimated delivery was days but after weeks the money has still not arrived each time i call they say it is being processed meanwhile the exchange rate has changed significantly costing me an additional in value,"{'complaint_id': 10002071, 'product_category': 'money transfer', 'chunk_index': 0}"
i applied for the citi double cash card specifically for the point sign up bonus i met all the spending requirements within the specified timeframe but american express has refused to credit my bonus points i have called times over the past months and each representative tells me something different i have all receipts and statements showing i qualified,"{'complaint_id': 10000197, 'product_category': 'credit card', 'chunk_index': 0}"
i applied for the chase sapphire card specifically for the point sign up bonus i met all the spending requirements within the specified timeframe but american express has refused to credit my bonus points i have called times over the past months and each representative tells me something different i have all receipts and statements showing i qualified,"{'complaint_id': 10000322, 'product_category': 'credit card', 'chunk_index': 0}"
chase closed my discover savings account without warning citing business reasons i had in the account and it took weeks to receive a cashier s check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account,"{'complaint_id': 10001367, 'product_category': 'savings account', 'chunk_index': 0}"
my chase sapphire card from chase suddenly had its credit limit reduced from to without any prior notification i have never missed a payment and my credit score is above when i called to ask why the representative could not give me a clear answer this reduction has negatively affected my credit utilization ratio and dropped my score by points,"{'complaint_id': 10000479, 'product_category': 'credit card', 'chunk_index': 0}"
i opened a marcus savings with discover because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for the higher rate,"{'complaint_id': 10001737, 'product_category': 'savings account', 'chunk_index': 0}"
the rewards program on my discover it card was changed without notice discover devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a bait and switch tactic long time customers should be grandfathered into the original rewards program,"{'complaint_id': 10000219, 'product_category': 'credit card', 'chunk_index': 0}"
i noticed a charge of on my discover it statement from i did not authorize this transaction and have been trying to resolve it with chase for weeks they keep transferring me between departments and no one takes responsibility i have provided documentation proving i was not at the merchant location this is extremely frustrating and i need this resolved immediately,"{'complaint_id': 10000101, 'product_category': 'credit card', 'chunk_index': 0}"
i initiated an international transfer of through western union s zelle service the estimated delivery was days but after weeks the money has still not arrived each time i call they say it is being processed meanwhile the exchange rate has changed significantly costing me an additional in value,"{'complaint_id': 10002004, 'product_category': 'money transfer', 'chunk_index': 0}"
i applied for the amex gold card specifically for the point sign up bonus i met all the spending requirements within the specified timeframe but citibank has refused to credit my bonus points i have called times over the past months and each representative tells me something different i have all receipts and statements showing i qualified,"{'complaint_id': 10000424, 'product_category': 'credit card', 'chunk_index': 0}"
i noticed a charge of on my chase sapphire statement from i did not authorize this transaction and have been trying to resolve it with citibank for weeks they keep transferring me between departments and no one takes responsibility i have provided documentation proving i was not at the merchant location this is extremely frustrating and i need this resolved immediately,"{'complaint_id': 10000057, 'product_category': 'credit card', 'chunk_index': 0}"
the total cost of my marcus loan from upstart ended up being which is nearly times the original loan amount of the interest rate of combined with various processing fees and insurance charges that were added without my clear consent have made this loan predatory in my opinion,"{'complaint_id': 10000977, 'product_category': 'personal loan', 'chunk_index': 0}"
the rewards program on my chase sapphire card was changed without notice discover devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a bait and switch tactic long time customers should be grandfathered into the original rewards program,"{'complaint_id': 10000591, 'product_category': 'credit card', 'chunk_index': 0}"
synchrony closed my discover savings account without warning citing business reasons i had in the account and it took weeks to receive a cashier s check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account,"{'complaint_id': 10001469, 'product_category': 'savings account', 'chunk_index': 0}"
i opened a marcus savings with ally bank because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for the higher rate,"{'complaint_id': 10001806, 'product_category': 'savings account', 'chunk_index': 0}"
my account was frozen by venmo after i made a wire transfer transfer of they claimed the transaction was flagged for suspicious activity but i was simply sending money to my family overseas which i do every month it took weeks to get my account unfrozen and i had to provide extensive documentation including pay stubs and tax returns,"{'complaint_id': 10001910, 'product_category': 'money transfer', 'chunk_index': 0}"
i have been a loyal chase sapphire cardholder with citibank for over years recently i noticed my interest rate was increased from to without adequate explanation i have excellent payment history and no late payments other companies are offering much lower rates i am considering closing this account if the rate is not adjusted,"{'complaint_id': 10000756, 'product_category': 'credit card', 'chunk_index': 0}"
i have been making regular payments on my upstart loan from prosper for months last month they claimed they did not receive my payment even though my bank shows it was debited they charged me a late fee and reported a missed payment to the credit bureaus dropping my score by points i need this corrected immediately,"{'complaint_id': 10000989, 'product_category': 'personal loan', 'chunk_index': 0}"
i tried to withdraw from my discover savings at ally bank and was told my account was frozen pending a security review no one informed me of any issues beforehand i had bills due and no access to my own money for weeks the customer service was unhelpful and could not tell me when the review would be completed,"{'complaint_id': 10001548, 'product_category': 'savings account', 'chunk_index': 0}"
synchrony closed my marcus savings account without warning citing business reasons i had in the account and it took weeks to receive a cashier s check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account,"{'complaint_id': 10001303, 'product_category': 'savings account', 'chunk_index': 0}"
someone made fraudulent purchases on my capital one venture card totaling i reported this to american express immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a different state when these transactions occurred,"{'complaint_id': 10000415, 'product_category': 'credit card', 'chunk_index': 0}"
goldman sachs closed my ally savings account without warning citing business reasons i had in the account and it took weeks to receive a cashier s check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account,"{'complaint_id': 10001308, 'product_category': 'savings account', 'chunk_index': 0}"
the total cost of my prosper loan from lendingclub ended up being which is nearly times the original loan amount of the interest rate of combined with various processing fees and insurance charges that were added without my clear consent have made this loan predatory in my opinion,"{'complaint_id': 10001076, 'product_category': 'personal loan', 'chunk_index': 0}"
i tried to withdraw from my marcus savings at ally bank and was told my account was frozen pending a security review no one informed me of any issues beforehand i had bills due and no access to my own money for weeks the customer service was unhelpful and could not tell me when the review would be completed,"{'complaint_id': 10001333, 'product_category': 'savings account', 'chunk_index': 0}"
i have been trying to reach ally bank s customer service about an issue with my marcus savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of service is completely unacceptable for a bank holding my savings,"{'complaint_id': 10001692, 'product_category': 'savings account', 'chunk_index': 0}"
i accidentally sent to the wrong person through western union via bank of america i realized the error within minutes and immediately contacted them to cancel they said the transaction was already completed and they cannot reverse it they suggested i ask the recipient nicely to send it back this is an unacceptable response for such a large amount,"{'complaint_id': 10002030, 'product_category': 'money transfer', 'chunk_index': 0}"
i have been making regular payments on my upstart loan from upstart for months last month they claimed they did not receive my payment even though my bank shows it was debited they charged me a late fee and reported a missed payment to the credit bureaus dropping my score by points i need this corrected immediately,"{'complaint_id': 10001172, 'product_category': 'personal loan', 'chunk_index': 0}"
i have been trying to reach ally bank s customer service about an issue with my ally savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of service is completely unacceptable for a bank holding my savings,"{'complaint_id': 10001279, 'product_category': 'savings account', 'chunk_index': 0}"
capital one charged me a late fee on my discover it card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should not be penalized for their slow processing system,"{'complaint_id': 10000248, 'product_category': 'credit card', 'chunk_index': 0}"
i took out a personal loan of with sofi through their marcus loan program the advertised rate was but after approval i was given the terms were buried in fine print and the loan officer rushed me through the signing process i am now paying per month which is more than what was originally quoted,"{'complaint_id': 10000974, 'product_category': 'personal loan', 'chunk_index': 0}"
i was contacted by someone claiming to be from my bank s fraud department they convinced me to send via venmo to secure my account i later realized this was a scam and immediately contacted bank of america they refused to reverse the transaction saying venmo transfers are final i believe bank of america should have better fraud protection mechanisms,"{'complaint_id': 10001904, 'product_category': 'money transfer', 'chunk_index': 0}"
i took out a personal loan of with prosper through their sofi personal loan program the advertised rate was but after approval i was given the terms were buried in fine print and the loan officer rushed me through the signing process i am now paying per month which is more than what was originally quoted,"{'complaint_id': 10001002, 'product_category': 'personal loan', 'chunk_index': 0}"
the rewards program on my amex gold card was changed without notice american express devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a bait and switch tactic long time customers should be grandfathered into the original rewards program,"{'complaint_id': 10000486, 'product_category': 'credit card', 'chunk_index': 0}"
the rewards program on my chase sapphire card was changed without notice citibank devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a bait and switch tactic long time customers should be grandfathered into the original rewards program,"{'complaint_id': 10000097, 'product_category': 'credit card', 'chunk_index': 0}"
i have been trying to reach discover s customer service about an issue with my ally savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of service is completely unacceptable for a bank holding my savings,"{'complaint_id': 10001570, 'product_category': 'savings account', 'chunk_index': 0}"
someone made fraudulent purchases on my discover it card totaling i reported this to chase immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a different state when these transactions occurred,"{'complaint_id': 10000180, 'product_category': 'credit card', 'chunk_index': 0}"
i applied for a upstart loan with prosper and was denied despite having a credit score of and a stable income of per year the denial letter was vague citing insufficient credit history i have years of credit history with no delinquencies i believe this decision was made unfairly and request a proper review,"{'complaint_id': 10001112, 'product_category': 'personal loan', 'chunk_index': 0}"
